"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","123829585658055424_1","2025-02-19","Odisha","SYGA Children's School Bag PVC Backpack Kids Cartoon Animal Multi-Purpose Bag For 2-4 Years Kids (Chick)","ChildrenBackpack-Chick","Free Size","1","376.0","365.0",
"DELIVERED","123829779446397312_1","2025-02-19","Uttarakhand","SYGA 5 Pcs Children Safety No Finger Pinch Foam Door Stopper. Colorful Cartoon Animal Cushion - Ramdom Bundled Baby Child Kid Cushiony Finger Hand Safety, Curve Shaped Door Stop Guard","1Safety Door Guard Stopper_5 Pcs","Free Size","1","97.0","95.0",
"DELIVERED","123830663845841664_1","2025-02-19","Maharashtra","SYGA Infant Safety Lock (White) - Pack of 4 Stops","WhiteSafetyLock-4","Free Size","1","96.0","96.0",
"DELIVERED","123831007094839104_1","2025-02-19","Uttar Pradesh","SYGA Infant Safety Lock (White) - Pack of 4 Stops","WhiteSafetyLock-4","Free Size","1","96.0","96.0",
"DELIVERED","123831121301542720_1","2025-02-19","Telangana","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","80.0","78.0",
"DELIVERED","123831127676057984_1","2025-02-19","Uttar Pradesh","SYGA 3 Pcs Baby Headband Set, Soft Stretchable Nylon Bow and Flower Hairbands, Comfortable and Stylish Headscarf for Newborn, Infant, and Toddler (0-3 Years)  ","HB-231","Free Size","1","160.0","160.0",
"DELIVERED","123831426009598720_1","2025-02-19","Karnataka","Cup Cake Tray for 6 Muffins","Cup Cake Tray for 6 Muffins","Free Size","1","86.0","84.0",
"DELIVERED","123831566500880896_1","2025-02-19","Andhra Pradesh","SYGA Baby Tights For Girls Soft Cotton Infant Leggings Toddler Solid Knit Socks Newborn Warm Crochet Pants Stockings - White 12-24 Months","BabyLeggings-White-12-24M","12-18 Months","1","225.0","225.0",
"DELIVERED","123831509069141824_1","2025-02-19","Uttar Pradesh","SYGA Baby Headbands Girls Rose Flower Nylon Strechable Hairbands For Newborn Infant Toddlers Kids 0 - 3 Year (Pink)","HeadBand-Nylon-Pink","Free Size","1","135.0","131.0",
"RTO_COMPLETE","123831689369687872_1","2025-02-19","Uttar Pradesh","SYGA Baby Cap Turban Big Flower Cotton Baby cap Unisex with Soft Cute Hat Toddler Infant Hat 6 Month-4 Years - LightGreen","PrintedFlowerHat-LightGreen","3-4 Years","1","155.0","155.0",
"DELIVERED","123831758454328064_1","2025-02-19","West Bengal","SYGA 2 Pcs Mom & Baby Headband Naylon Stretchable Hairband Suitable for Newborn Infant Toddler Kids  0 - 3 Year  (Navy Blue)","HeadBandSetof2-NavyBlue","Free Size","1","284.0","284.0",
"DELIVERED","123832299329579776_1","2025-02-19","Uttarakhand"," SYGA Baby Cap Flower Warm Knitted Streachable Hat Infant Toddler Baby Cap 0-3 Years - Off White","BC-09","Free Size","1","156.0","152.0",
"DELIVERED","123832752461308417_1","2025-02-19","Delhi","SYGA Bridal Princess Girl Tiara and Rhinestone Crown Headband Hair Accessories for Women Wedding Ceremony Party (Silver Plating + Sky Blue)","CROWN-04","Free Size","1","210.0","204.0",
"DELIVERED","123833060621017600_1","2025-02-19","Telangana","SYGA Girls Mesh Cotton Stockings, Mosquito-Proof Pantyhose with Bow Detail, Infant Leggings for 4-6 years old(Pink)","BL-236","4-5 Years","1","205.0","205.0",
