order-id	tracking-id	expected-ship-date	asin	sku	product-name	quantity-purchased	invoice-id	package-identifier	ship-service-level	is-prime	pickup-slot	order-item-id	purchase-date	ship-postal-code	ship-country	ship-city	ship-state	carrier	verge-of-cancellation	verge-of-lateShipment
404-6805055-5695567	347836412202	2025-02-18T18:29:59+00:00	B0DDH43T8B	BL-233	SYGA Girls Mesh Cotton Stockings, Mosquito-Proof Pantyhose with Bow Detail, Infant Leggings for 6-12 Months(Pink)	1	IN-310095	404-6805055-5695567	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701573295442	2025-02-17T17:30:48+00:00	676551	IN	Tirur	KERALA	ATS	false	true
403-4314870-4709930	347836460067	2025-02-18T18:29:59+00:00	B0DBLZMW8K	BL-203	SYGA Girls Leggings Spring and Autumn Cotton Lace Tights for Toddlers Size S, Age 1-3 Years Old(White)	1	IN-310075	403-4314870-4709930	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46700334346322	2025-02-17T16:51:25+00:00	201305	IN	NOIDA	UTTAR PRADESH	ATS	false	true
405-2945640-2242717	347836460623	2025-02-18T18:29:59+00:00	B0CVDPN7B4	BC-12	SYGA Baby Cap Flower Wool Warm Knitted Streachable Hat Infant Toddler Baby Cap 0-3 Years (Meat Powder)	1	IN-309910	405-2945640-2242717	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46696496586082	2025-02-17T12:34:38+00:00	341001	IN	NAGAUR	RAJASTHAN	ATS	false	true
408-1588722-7653113	164608070558	2025-02-18T18:29:59+00:00	B09BCD8Y1K	WaterPouch_Yellow_Pack of 2	Syga 5 Liters Portable Collapsible Water Storage Tank Water Container Water Carrier Lifting Bag Camping Hiking Survival Kit Tool, Yellow - 2 Packs	1	IN-309866	408-1588722-7653113	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46694259879602	2025-02-17T11:33:14+00:00	400703	IN	NAVI MUMBAI	MAHARASHTRA	ATS	true	false
407-4963497-4928311	347836412226	2025-02-18T18:29:59+00:00	B0CVDVTV8J	BC-10	SYGA Baby Cap Flower Wool Warm Knitted Streachable Hat Infant Toddler Baby Cap 0-3 Years (Yellow)	1	IN-310162	407-4963497-4928311	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702324575682	2025-02-17T18:57:25+00:00	560066	IN	BENGALURU	KARNATAKA	ATS	false	true
403-4894473-5762710	347836415227	2025-02-18T18:29:59+00:00	B0DJ789FGJ	BS-140	SYGA Baby Long Socks Cotton, Over The Knee, No Tightness, High-Top, Bow Pattern- Suitable For 0-1 Year (Pink)	1	IN-309921	403-4894473-5762710	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46693872128962	2025-02-17T12:54:42+00:00	736182	IN	JAYGAON	WEST BENGAL	ATS	false	true
405-1029221-3689147	164608068029	2025-02-18T18:29:59+00:00	B08PFMZN4J	LoveMeMore_Pink	SYGA Woolen Baby Cap Knit Hat Scarf Unisex Winter Pom Pom Cap Neck Warme 6 Month to 24 Month Baby - Pink	1	IN-310092	405-1029221-3689147	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701681105762	2025-02-17T17:35:05+00:00	400091	IN	MUMBAI	MAHARASHTRA	ATS	true	false
402-2690832-6113961	347836460074	2025-02-18T18:29:59+00:00	B09J2NLYT5	Cap-PrintedBalaclava-White	SYGA Women Hat & Scarf for Adult Winter Cap Wool Neck Scarf Beanie Hat for Winter Above 15 Year - White	1	IN-309928	402-2690832-6113961	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46695999660962	2025-02-17T13:06:00+00:00	411014	IN	PUNE	MAHARASHTRA	ATS	false	true
407-2717835-0373941	347836460081	2025-02-18T18:29:59+00:00	B0DBZQW4H7	BC-23	SYGA Baby Winter Wool Cap Cute Cartoon Pom Pom Knitted Hat with Warm Ear Protection for Ages 3-10 Years (Orange)	1	IN-309887	407-2717835-0373941	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46694968818442	2025-02-17T11:58:59+00:00	411033	IN	PIMPRI CHINCHWAD	MAHARASHTRA	ATS	false	true
408-7178830-8901128	164608070565	2025-02-18T18:29:59+00:00	B09P6H5XQJ	MenWinterHats_Gray	SYGA Mens Wool Winter Beanie Earflaps Baseball Cap With Warmer Outdoor Fleece Hat With Visor- Gray, Free Size	1	IN-310091	408-7178830-8901128	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702074214922	2025-02-17T17:34:03+00:00	396191	IN	Vapi	GUJARAT	ATS	true	false
