orderid,Qty,output_pdf_location,sku
402-0098795-7167570,1,outputs/amazon_output_pdfs/Order_402-0098795-7167570.pdf,Crown-Multicolor
408-0344895-1843549,1,outputs/amazon_output_pdfs/Order_408-0344895-1843549.pdf,Crown-Multicolor
407-5101217-7914756,1,outputs/amazon_output_pdfs/Order_407-5101217-7914756.pdf,Crown-Multicolor
407-0797179-2853127,1,outputs/amazon_output_pdfs/Order_407-0797179-2853127.pdf,Crown-Multicolor
404-2274565-0093111,1,outputs/amazon_output_pdfs/Order_404-2274565-0093111.pdf,Goggles-EarTie-Pink
402-8271437-9096338,1,outputs/amazon_output_pdfs/Order_402-8271437-9096338.pdf,Goggles-EarTie-Pink
407-1780684-2103517,1,outputs/amazon_output_pdfs/Order_407-1780684-2103517.pdf,Goggles-EarTie-Pink
406-6918009-3141101,1,outputs/amazon_output_pdfs/Order_406-6918009-3141101.pdf,Goggles-EarTie-Pink
408-1432703-9508365,1,outputs/amazon_output_pdfs/Order_408-1432703-9508365.pdf,Goggles-PigStyle-Pink
402-6169580-9346701,1,outputs/amazon_output_pdfs/Order_402-6169580-9346701.pdf,Goggles-PigStyle-Pink
403-2567771-8818756,1,outputs/amazon_output_pdfs/Order_403-2567771-8818756.pdf,Goggles-PigStyle-Pink
407-4342828-7369114,1,outputs/amazon_output_pdfs/Order_407-4342828-7369114.pdf,Goggles-PigStyle-Pink
403-5332483-3760301,1,outputs/amazon_output_pdfs/Order_403-5332483-3760301.pdf,WaistChain-EL95-19
407-2512083-6731518,1,outputs/amazon_output_pdfs/Order_407-2512083-6731518.pdf,WaistChain-EL95-19
404-0963895-5985929,1,outputs/amazon_output_pdfs/Order_404-0963895-5985929.pdf,WaistChain-EL95-19
408-5363258-7796315,1,outputs/amazon_output_pdfs/Order_408-5363258-7796315.pdf,WaistChain-EL95-19
404-5996301-6205968,1,outputs/amazon_output_pdfs/Order_404-5996301-6205968.pdf,WaterPouch_BT
404-4247064-1121161,1,outputs/amazon_output_pdfs/Order_404-4247064-1121161.pdf,WaterPouch_BT
404-1939776-5925903,1,outputs/amazon_output_pdfs/Order_404-1939776-5925903.pdf,WaterPouch_BT
403-5866928-9773927,1,outputs/amazon_output_pdfs/Order_403-5866928-9773927.pdf,WaterPouch_BT
406-4081953-8080304,1,outputs/amazon_output_pdfs/Order_406-4081953-8080304.pdf,Crown-SemiCircle-Golden
405-6166711-3130749,1,outputs/amazon_output_pdfs/Order_405-6166711-3130749.pdf,Crown-SemiCircle-Golden
407-6793086-3985168,1,outputs/amazon_output_pdfs/Order_407-6793086-3985168.pdf,1LoveTravel_Brown
405-1186362-0130750,1,outputs/amazon_output_pdfs/Order_405-1186362-0130750.pdf,65MM earphone foam
402-3306357-6121960,1,outputs/amazon_output_pdfs/Order_402-3306357-6121960.pdf,BabyBraceletEarrings-GradientPurple
408-5208551-7889946,1,outputs/amazon_output_pdfs/Order_408-5208551-7889946.pdf,BFROCK-02
407-5494324-6013907,1,outputs/amazon_output_pdfs/Order_407-5494324-6013907.pdf,Bracelet-Khaki
171-4786522-7083552,1,outputs/amazon_output_pdfs/Order_171-4786522-7083552.pdf,BROOCH-S247
408-0872052-2533111,1,outputs/amazon_output_pdfs/Order_408-0872052-2533111.pdf,BS-281
404-0574549-6147529,1,outputs/amazon_output_pdfs/Order_404-0574549-6147529.pdf,EarTips_Black_Small
407-9217824-3165922,1,outputs/amazon_output_pdfs/Order_407-9217824-3165922.pdf,GL-195
402-9586728-0552332,1,outputs/amazon_output_pdfs/Order_402-9586728-0552332.pdf,Goggles-CrownStyle-Green
403-6586436-4669151,1,outputs/amazon_output_pdfs/Order_403-6586436-4669151.pdf,HB-283
403-0676231-7042703,1,outputs/amazon_output_pdfs/Order_403-0676231-7042703.pdf,HB-374
407-8841943-4416364,1,outputs/amazon_output_pdfs/Order_407-8841943-4416364.pdf,NecklaceDisplay_Black_5
171-3121529-6432364,1,outputs/amazon_output_pdfs/Order_171-3121529-6432364.pdf,Pack3-KL-Socks-Turmeric-Grey-DGreen
171-9322956-3577133,1,outputs/amazon_output_pdfs/Order_171-9322956-3577133.pdf,PaintBrushes_Black
407-7747281-3682738,1,outputs/amazon_output_pdfs/Order_407-7747281-3682738.pdf,Safety Strips Edge Guard_Brown_Set(3)
408-5491814-7357931,1,outputs/amazon_output_pdfs/Order_408-5491814-7357931.pdf,SCHOOLBAG-45
408-3934910-3279528,1,outputs/amazon_output_pdfs/Order_408-3934910-3279528.pdf,TurbonHeadWrap_Maroon
404-2089218-3793137,1,outputs/amazon_output_pdfs/Order_404-2089218-3793137.pdf,WaistBandElastic-WP84-24
406-5998008-1057129,1,outputs/amazon_output_pdfs/Order_406-5998008-1057129.pdf,WaistBelt-Red-PD38
403-7089694-1230741,1,outputs/amazon_output_pdfs/Order_403-7089694-1230741.pdf,WaterBottle_Blue
408-1588722-7653113,1,outputs/amazon_output_pdfs/Order_408-1588722-7653113.pdf,WaterPouch_Yellow_Pack of 2
404-7583135-1749158,1,outputs/amazon_output_pdfs/Order_404-7583135-1749158.pdf,WP-246
408-7744560-0765108,1,outputs/amazon_output_pdfs/Order_408-7744560-0765108.pdf,3PCS NiddlesPins
171-0052659-8884306,1,outputs/amazon_output_pdfs/Order_171-0052659-8884306.pdf,50_CraftButtons_Sunflower
408-4540066-3960302,1,outputs/amazon_output_pdfs/Order_408-4540066-3960302.pdf,BabyBibs-RoadDriving
405-0561994-7156350,1,outputs/amazon_output_pdfs/Order_405-0561994-7156350.pdf,BabyLeggings-Black-0-6M
402-6714258-0285943,1,outputs/amazon_output_pdfs/Order_402-6714258-0285943.pdf,BabyLeggings-Black-12-24M
171-5211143-2923515,1,outputs/amazon_output_pdfs/Order_171-5211143-2923515.pdf,BabyLeggings-Black-6-12M
171-5119975-7819559,1,outputs/amazon_output_pdfs/Order_171-5119975-7819559.pdf,BabyLeggings-LightGrey-6-12M
406-6771712-4546725,1,outputs/amazon_output_pdfs/Order_406-6771712-4546725.pdf,BabyLeggings-LightGrey-6-12M
402-9657972-9866741,1,outputs/amazon_output_pdfs/Order_402-9657972-9866741.pdf,BabyLeggings-Pink-6-12M
402-5611184-3725154,1,outputs/amazon_output_pdfs/Order_402-5611184-3725154.pdf,BabyLeggings-Thin-White-6-12M
403-8632447-7645940,1,outputs/amazon_output_pdfs/Order_403-8632447-7645940.pdf,BabyLeggings-White-2-4Y
407-0049660-4620355,1,outputs/amazon_output_pdfs/Order_407-0049660-4620355.pdf,BabyLeggings-White-2-4Y
402-3295840-7053913,1,outputs/amazon_output_pdfs/Order_402-3295840-7053913.pdf,BabyLeggings-White-2-4Y
402-6601735-3751517,1,outputs/amazon_output_pdfs/Order_402-6601735-3751517.pdf,BabyLeggings-White-6-12M
406-5108678-0055524,1,outputs/amazon_output_pdfs/Order_406-5108678-0055524.pdf,BabyLeggings-White-6-12M
403-3113230-3734739,1,outputs/amazon_output_pdfs/Order_403-3113230-3734739.pdf,BC-09
407-4963497-4928311,1,outputs/amazon_output_pdfs/Order_407-4963497-4928311.pdf,BC-10
405-2945640-2242717,1,outputs/amazon_output_pdfs/Order_405-2945640-2242717.pdf,BC-12
407-2717835-0373941,1,outputs/amazon_output_pdfs/Order_407-2717835-0373941.pdf,BC-23
408-3673895-8791541,1,outputs/amazon_output_pdfs/Order_408-3673895-8791541.pdf,BC-58
403-4314870-4709930,1,outputs/amazon_output_pdfs/Order_403-4314870-4709930.pdf,BL-203
404-5735478-3177166,1,outputs/amazon_output_pdfs/Order_404-5735478-3177166.pdf,BL-209
405-5119403-0653918,1,outputs/amazon_output_pdfs/Order_405-5119403-0653918.pdf,BL-224
403-7936664-7048369,1,outputs/amazon_output_pdfs/Order_403-7936664-7048369.pdf,BL-230
404-6805055-5695567,1,outputs/amazon_output_pdfs/Order_404-6805055-5695567.pdf,BL-233
404-0175463-1725962,1,outputs/amazon_output_pdfs/Order_404-0175463-1725962.pdf,BL-244
408-1352146-4474752,1,outputs/amazon_output_pdfs/Order_408-1352146-4474752.pdf,BL-38
407-7829703-5297914,1,outputs/amazon_output_pdfs/Order_407-7829703-5297914.pdf,BL-66
407-2556413-2133126,1,outputs/amazon_output_pdfs/Order_407-2556413-2133126.pdf,BL-69
403-4894473-5762710,1,outputs/amazon_output_pdfs/Order_403-4894473-5762710.pdf,BS-140
408-9494695-2121122,1,outputs/amazon_output_pdfs/Order_408-9494695-2121122.pdf,Cap-PrintedBalaclava-Black
402-2690832-6113961,1,outputs/amazon_output_pdfs/Order_402-2690832-6113961.pdf,Cap-PrintedBalaclava-White
405-3526490-6989916,1,outputs/amazon_output_pdfs/Order_405-3526490-6989916.pdf,ChildrenSmallBag-PinkCat
404-5043939-9313158,1,outputs/amazon_output_pdfs/Order_404-5043939-9313158.pdf,L_BabySocks_SweetBunny-0-8 Years
407-2157895-1365919,1,outputs/amazon_output_pdfs/Order_407-2157895-1365919.pdf,LoveMeMore_Grey
405-1029221-3689147,1,outputs/amazon_output_pdfs/Order_405-1029221-3689147.pdf,LoveMeMore_Pink
408-7178830-8901128,1,outputs/amazon_output_pdfs/Order_408-7178830-8901128.pdf,MenWinterHats_Gray
171-0156251-2781108,1,outputs/amazon_output_pdfs/Order_171-0156251-2781108.pdf,PlainCap_Orange
402-5677868-3181167,1,outputs/amazon_output_pdfs/Order_402-5677868-3181167.pdf,PlainCap_Orange
406-9117454-0888359,1,outputs/amazon_output_pdfs/Order_406-9117454-0888359.pdf,PlainCap_Pink
403-6611535-2500300,1,outputs/amazon_output_pdfs/Order_403-6611535-2500300.pdf,PrintedFlowerHat_Pink&Blue
171-3537675-7560354,1,outputs/amazon_output_pdfs/Order_171-3537675-7560354.pdf,ScarfCap_Black
405-4925009-0305956,1,outputs/amazon_output_pdfs/Order_405-4925009-0305956.pdf,ScratchingStick
403-4065415-5488311,1,outputs/amazon_output_pdfs/Order_403-4065415-5488311.pdf,SK-02
408-6089888-8437124,1,outputs/amazon_output_pdfs/Order_408-6089888-8437124.pdf,SK-03
171-2180839-7743516,1,outputs/amazon_output_pdfs/Order_171-2180839-7743516.pdf,SK-09
404-9011980-4251540,1,outputs/amazon_output_pdfs/Order_404-9011980-4251540.pdf,SOCKS-SET5-WHITE-FLOWER
404-4748073-7836363,1,outputs/amazon_output_pdfs/Order_404-4748073-7836363.pdf,SWIM-12
171-4656326-4779550,1,outputs/amazon_output_pdfs/Order_171-4656326-4779550.pdf,SWIM-15
402-2529256-0018758,1,outputs/amazon_output_pdfs/Order_402-2529256-0018758.pdf,SWIM-23
403-5018362-3893936,1,outputs/amazon_output_pdfs/Order_403-5018362-3893936.pdf,SWIM-23
404-9827339-7481965,1,outputs/amazon_output_pdfs/Order_404-9827339-7481965.pdf,SWIM-23
405-7145142-1545143,1,outputs/amazon_output_pdfs/Order_405-7145142-1545143.pdf,Tea Drainer-Type1
407-2670570-8046727,1,outputs/amazon_output_pdfs/Order_407-2670570-8046727.pdf,WaistBand-Bow-White
404-2704480-7234703,1,outputs/amazon_output_pdfs/Order_404-2704480-7234703.pdf,WaistBandElastic-WP84-2
402-5755057-3648339,1,outputs/amazon_output_pdfs/Order_402-5755057-3648339.pdf,WAISTBELT-04
403-8969614-8392323,1,outputs/amazon_output_pdfs/Order_403-8969614-8392323.pdf,WAISTBELT-11
171-2409611-1746766,1,outputs/amazon_output_pdfs/Order_171-2409611-1746766.pdf,WAISTBELT-133
171-1310722-8765146,1,outputs/amazon_output_pdfs/Order_171-1310722-8765146.pdf,WaistBelt-PinBuckle-Black
171-3162037-9266750,1,outputs/amazon_output_pdfs/Order_171-3162037-9266750.pdf,WaistBelt-PinBuckle-Black
403-3070237-9196339,1,outputs/amazon_output_pdfs/Order_403-3070237-9196339.pdf,WaistChain-EL95-8
408-8538248-1897123,1,outputs/amazon_output_pdfs/Order_408-8538248-1897123.pdf,WaistChain-WP242-3
405-6807135-7066762,1,outputs/amazon_output_pdfs/Order_405-6807135-7066762.pdf,WaistChain-WP242-3
403-5254693-9215540,1,outputs/amazon_output_pdfs/Order_403-5254693-9215540.pdf,WaistChain-WP242-3
404-4720873-0812325,1,outputs/amazon_output_pdfs/Order_404-4720873-0812325.pdf,WC-08
405-3595199-3107563,1,outputs/amazon_output_pdfs/Order_405-3595199-3107563.pdf,WC-08
406-9545469-2268369,1,outputs/amazon_output_pdfs/Order_406-9545469-2268369.pdf,WC-09
405-0002861-2705917,1,outputs/amazon_output_pdfs/Order_405-0002861-2705917.pdf,WC-32
406-0404427-3478760,1,outputs/amazon_output_pdfs/Order_406-0404427-3478760.pdf,WC-36
403-7321701-7101919,1,outputs/amazon_output_pdfs/Order_403-7321701-7101919.pdf,WC-47
406-8602725-8448313,1,outputs/amazon_output_pdfs/Order_406-8602725-8448313.pdf,WC-47
403-3430857-2691505,1,outputs/amazon_output_pdfs/Order_403-3430857-2691505.pdf,WC-61
408-5350020-9262743,1,outputs/amazon_output_pdfs/Order_408-5350020-9262743.pdf,WC-62
404-3905033-0857126,1,outputs/amazon_output_pdfs/Order_404-3905033-0857126.pdf,BabyHatButton-Black
408-7886623-8053910,1,outputs/amazon_output_pdfs/Order_408-7886623-8053910.pdf,BabyLeggings-Pink-4-6Y
408-4870715-9837164,1,outputs/amazon_output_pdfs/Order_408-4870715-9837164.pdf,BabyLeggings-Thin-White-0-6M
402-2711844-6248317,1,outputs/amazon_output_pdfs/Order_402-2711844-6248317.pdf,BabyLeggings-White-0-6M
407-5048517-6317127,1,outputs/amazon_output_pdfs/Order_407-5048517-6317127.pdf,BabyLeggings-White-0-6M
402-4727830-6369113,1,outputs/amazon_output_pdfs/Order_402-4727830-6369113.pdf,BabyLeggings-White-12-24M
