Qty,sku,Items,shipment_id,Qty MRP
1,BabyLeggings-Thin- White-24-48M,1,11156858573,
1,SK-08,1,11155508080,
1,ChildrenBowPearlSet-Red- 4Pieces,1,11155819410,
1,BabyLeggings- DarkGrey-12-24M,1,11155588778,
1,WC-41,1,11154261476,
1,BS-140,1,11155962865,
1,Children-RabbitBag- Purple,1,11156870731,
1,WC-62,1,11156633104,
1,SOCKS-SET5- FLOWER,1,11156849314,
1,WC-62,1,11154973260,
1,ScarfCap_Black,1,11156427876,
1,BabyBibs-Digital,1,11155142999,
1,BowHeadBand- Color1010,1,11155651564,
1,4-HairPin- PinkCrownSet,1,11156487501,
1,HairBandC10- Sunflower-Setof10,1,11156441584,
1,WC-60,1,11155811084,
1,LoveMeMore_Beige,1,11156860725,
1,Children-MiniBag- Pink,1,11155807532,
1,Sunglasses-Round- BlackFrame,1,11155591451,
1,SOCKS-SET5- FLOWER,1,11156679731,
1,PlainCap_Pink,1,11156864681,
1,HeadBand-Nylon- Blue,1,11155546913,
1,Sunglasses-Round- BlackFrame,1,11154969657,
1,BC-10,1,11156261072,
1,BabyBibs- DarkBluePlanet,1,11156170151,
1,BabyLeggings- Black-12-24M,1,11156673961,
1,PlainCap_Black,1,11156522112,
1,SK-08,1,11156632042,
1,ChildrenBackpack- GirlThree,1,11155831164,
1,ScarfCap_Maroon,1,11154994915,
1,Bib_Elephant,1,11155226067,
1,CreamBedRail_1.8m,1,11156243050,
1,S_BabySocks_GreyPuppy,1,11156679064,
1,Bib_Elephant,1,11156695043,
1,WP-393,1,11155241172,
1,8.5_Note Pad_White,1,11156841760,
1,CreamBedRail_1.8m,1,11155530501,
1,CreamBedRail_1.8m,1,11156612422,
1,ChildrenBackpack- GirlThree,1,11154981765,
1,WheelCushion_Pink,1,11156612344,
1,1Stainless Steel Steamer_Medium,1,11156659506,
1,WheelCushion_Pink,1,11156805839,
1,PandaHanger_Black_Packof2,1,11155237921,
1,Inflatable-BathTub- 3Layer-1.5M,1,11156286757,
1,WheelCushion_Brown,1,11154977495,
1,Safety Strips Edge Guard_Black_Set(3),1,11156190383,
1,BalloonRibbon_Yellow,1,11155859471,
1,1Stainless Steel Steamer_Medium,1,11156839317,
1,ChildrenDeskSet- Upgraded-Blue-70CM,1,11156102334,
1,WheelCushion_Pink,1,11156824334,
1,SCHOOLBAG-06,1,11156655919,
1,BICYCLE- PRINCESS-PINK-16INCH,1,11156888214,
1,ChildrenBackpack- GirlThree,1,11156478946,
1,Goggles- MickeyMouse-Pink&BlueShade,1,11152364684,
1,145_PaintColors_BlueHorse,1,11156819539,
1,EdgeCornerCombo_Brown,1,11156844937,
1,3 Pcs Bottle Cleaner Brush Blue,1,11156289770,
1,HB-159,1,11156634612,
1,BC-178,1,11155854620,
1,BS-85,1,11156679574,
1,Baby Safety Cabinet Locks_12 Pcs,1,11155292404,
1,BS-38,1,11155636206,
1,SCHOOLBAG-17,1,11156469441,
1,Safety Strip Guard Protector_Brown,1,11156648945,
1,Safety Strip Guard Protector_Brown,1,11156165970,
1,Safety Door Guard Stopper_5 Pcs,1,11155866500,
1,SteamerPlate,1,11155292438,
1,0to9_Stencils,1,11156814076,
1,U- SafetyStrip_Brown,1,11156473266,
1,HB-159,1,11155470198,
1,Lining Strip Guard Protector_Brown,1,11156174340,
1,SteamerPlate,1,11156188985,
1,U- SafetyStrip_White,1,11156035881,
1,BabyTumbler_Pink,1,11156462277,
1,BS-12,1,11156842574,
1,HB-157,1,11156638297,
1,HB-116,1,11156635900,
1,HB-157,1,11154956202,
1,14-HairPin- PinkFlower,1,11156640159,
1,BabyLeggings-Pink- 12-24M,1,11156675742,
1,HeadBand-Nylon- White,1,11156600534,
1,Children-MiniBag- Pink,1,11156651242,
1,SOCKS-SET5- STRAWBERRY-LIGHT,1,11156052965,
1,FlowerHat_Black,1,11156881479,
1,PrintedFlowerHat_Pink&Blue,1,11154952183,
1,PrintedFlowerHat- Beige&Pink,1,11154933753,
1,HeadBand-Nylon- Pink,1,11155266225,
1,S_BabySocks_Navy,1,11156443513,
1,BowHeadBand- Color1010,1,11156171937,
